id;name
FF3F8C51-E0D4-4771-BD3D-7FF899B7E568;AEME
92EC794C-FEF6-4E10-A301-46B588688FEA;ASC
6110542C-93F3-4314-89DA-E2E64FD81358;ASTER
91F280C7-D20F-4D43-9943-EC09962BA47E;ASUR
A2B7D3E1-76A3-41D6-8613-18CF6DA97437;ATY
A3F5781F-B4DA-486A-9EEF-8A6C13A5D7B7;Abito
082AF455-D4FF-4D3C-8A2A-54561DB587B5;AccessComm
CE05DB7E-2690-45C6-926A-A0AC9B73F01A;Afore
6B6E9C89-DC85-411A-B81C-38D708F3793A;Aguakan
B137DEA9-C47A-4943-98E4-94605BDB8116;Arse
9BC57297-C741-4BA3-BEDA-8ECFF34DE67B;Avis
70B009FD-167E-49D6-B983-0EB14EA172D2;Ayuntamiento de Mérida
B7C8C0D5-F882-4A89-A74D-D92B6F8822AF;BPSoft
19AFD77A-81F2-489D-BDED-42CDE8EAC798;Barroso
C5F001F0-2245-4665-AF0A-D8E7C3F0200A;Bazar del Dulcero
647F0E5D-BC11-482E-AB48-55FCD72B3016;Be Grand
E09BC2EE-8704-4593-AE10-5D6683BED93C;Bepensa
80FE939A-ACA1-4AB0-9B81-321D8C101090;Bepensa Bebidas
6C585D64-8DC0-43F1-9D41-406CBC75539B;Bepensa Motriz
262796E5-9C55-4313-BBFF-F8DB27FAA1C8;Bodegón
D992C304-7793-4139-B895-3A66D1AB53F7;CACERES BORREGUIN
D48348DA-6DEC-4DF7-848E-B6FE781C187B;CCC EDOMEX
E8060BF0-FAAF-4404-B205-610BA8C1DBF5;CEM
32C66934-EF06-4E63-9586-55C3D80B9049;CGV
6B7BFF50-EDE9-4118-99C7-9A55B9AB2B14;CICY
E91EE94E-9422-4149-B56D-334E4C17653B;Caducancun
932133BC-8043-4A23-A85D-6C7A0D9B55E8;Caja Cristo Rey
BACAE1C9-84BB-4926-91C6-DFCC83864B0E;Coimsur
9C25D47F-CDCB-47AB-BFB0-471825525E34;Compañia Fernandez
EDFF2FE0-C8B6-42EC-A3D7-92B3F09C35A7;Conauto
7FCDE374-CA74-4519-AFC6-A92926F276F0;Consejería Jurídica
D7B1C9A0-B848-4999-BF1B-E02BFEBE3B2E;Coopera
721AFF0D-F37D-443E-8048-3C49FA5123BD;DESUR
B3B03376-01FE-430D-933B-BF3377A029D0;DGSEI EDOMEX
890A4CFD-AB5A-497B-BBF9-80686B827EE5;Dekafarma
B3B0822E-77B5-4796-8E5E-45668BB5F9A9;Dolphin Discovery
F03E49F0-9B7D-40AA-8373-93D29B62E63D;Don Nico
60ECC401-121A-42AD-B0B3-80731638CE4D;Dunosusa
331EC1F1-943D-4604-A131-8CBEC3BA3FF2;Dypaq
7DDC4E8D-A635-4679-9236-A2842560E05D;EETISUR
3CB77B38-1B52-4FBD-AC63-DD47E41BE6FB;ESTUDIOS Y SUPERVISIÓN DEL SURESTE SA DE CV
36863424-5ED8-4B5C-B082-65558E924718;EXIMAGEN
A3FC1FF3-3AFC-40E1-9118-363E9E24D23B;Edomex
2CE9B231-2CF8-47C1-852D-D45F4E8B6043;Enkontrol
FB9771AA-3CF3-468A-95E7-B65FC6BC2F31;Espejos Millet
902319BB-DC6D-47A5-A90F-8AA2EC93EEC4;Expertti
27B9C6B7-8DBE-4A0E-B86A-649844EC2200;Expressos
FAAE4CFB-5FB8-444A-B381-115AB64C9311;FERRETERA MANDIOLA
6E54A10B-CF8C-40D5-9F3E-8A9E9E552DA5;FINBE
4C3BEC6A-8A87-469F-BF7E-387692DC8D97;Falco
DABF9E74-E2D5-4934-9A53-09DE636610B2;Ford Peninsula
D2D32353-83C9-43C3-99B0-A055BE328D47;GOB Quintana Roo
1AC9B90D-F374-497A-8949-024603BD2756;GP vivienda
1AD4D9CA-4E5F-4336-A406-6CAD80C42B1B;GRUPO GADOL
352EA60F-2015-49EF-B13B-F8C20E195DF6;Gconsultores
B78CCF89-8EFC-492D-A28B-D64B24C0B1A0;Gobierno del estado de Puebla
8AC76827-E994-4D6B-8269-36571C4415B8;Gobierno del estado de Yucatán
2ECD5D08-2BEA-4DCF-8B01-C6406ABF2554;Grupo Boxito
A681A534-F8CF-4154-BA8E-0B2AC89C1714;Grupo Crio
67D0BDD6-F0F7-4452-A847-6387A5B58F3B;Grupo Lodemo
44866CFC-7789-4942-B401-E9A396C3A204;Grupo Ordoñez
C64CEBA1-CAE1-4EDC-B04B-0B93E9970276;Haddad
B9961BD2-06BF-4890-AEB2-7E7BDFB31F19;HardRock
E7EBEC2F-D25E-41AC-8D47-445EAF8D5BF0;Heuristic
746CC48E-1E6A-4918-9BE7-AD35D3041BF7;Hogares Promociones
69E5DE32-34BC-46BF-9F83-FB05DDF564A1;IESCA
EC18759B-EC62-4067-B78A-D15D4ADBCBC9;IFREM
DA54BBD2-0DB5-4327-9253-77D9FC6F36A8;INSEJUPY
DC41B00C-0337-4A28-B808-CCE3E81870EB;INTERALUM
3A75BFFC-39CE-4475-8BBF-DCE557EF120C;ISCAM
8E88F6D2-B390-4564-A512-C307C7C04452;ITC México
D3E5F5B1-E5F3-40D2-8473-C1BA79B57193;Infopoint
4B103147-B6EE-4253-ABA8-2D9B8BDD9999;Integra
6FFDEBAF-FCF6-457C-9C6A-1C329FBB000C;Kananfleet
20BBE251-B4DF-4D69-8D08-E3B1A8D8470F;La Lupita
7257BC44-1E26-47B2-A934-C8BD70FE7FA5;Lightstyle
8832F4A5-2164-4ABA-9462-08191C2E811D;LualTech
57F2BDB2-B489-46B0-BBFD-776E17149FFE;MAYACAL
DA3A9F08-3E7C-4526-B8DE-81B6FC49162C;MEGAMEDIA (IC)
EF4F5B5C-0DCB-4269-A461-C9A2FC1A9A3A;Mac Store
485521A3-B0CB-4076-8B2F-52C8AD641C21;Mantenimiento Marino de México S de RL de CV
43C22750-CD51-44B3-A48A-147E3FA6B06E;Mayan Heritage
6DD57195-6A1C-4674-81B0-B96BF072BC3A;Mera Corporation
B001FB7C-67EC-4B18-B187-AA1C2C8AE208;Monarch
1EA65A55-5FE8-4930-8276-41C54111250A;Monarti
08AA02DF-F1E6-4710-9AB5-F7EF323A9DEF;NGN
73741DFE-D633-4F75-8EA6-D60632DE8A8B;Niplito
1E163CDD-2B8C-4961-8385-F42EA757BFE4;NouvaTek
C8E4BA40-A7AD-4E52-BF0A-6569C14F6047;OMEGA
338C4FA8-2A20-4F00-A2F4-8DBB26DCDA31;OSROCA
1764C4A5-28FE-4346-B4C7-1B097EB9563F;Olympus
1E302428-AE14-46BC-B350-5D2D8FD55A23;PC Users
7A8AF6B0-8E71-44E1-AE08-39DBD23BFEFB;Palace Resorts
BA15C12D-ADFC-4653-988E-8F5410147250;Petromayab
415C1BF4-54BB-44AF-A61C-CF37D1FD7F1B;Plenum
